,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company,year
114,Candido Botelho Bracher,Financials,Banks: Commercial and Savings,"Sao Paulo, Brazil",http://www.itau.com.br,4,"94,779",Itau Unibanco Holding,2017
115,Wu Yan,Financials,Insurance: Property and Casualty (Stock),"Beijing, China",http://www.picc.com.cn,8,"188,570",People’s Insurance Co. of China,2017
116,Yang Hua,Energy,"Mining, Crude-Oil Production","Beijing, China",http://www.cnooc.com.cn,11,"100,821",China National Offshore Oil,2017
117,Fumiya Kokubu,Wholesalers,Trading,"Tokyo, Japan",http://www.marubeni.com,23,"39,952",Marubeni,2017
118,Frank Appel,Transportation,"Mail, Package, and Freight Delivery","Bonn, Germany",http://www.dpdhl.com,23,"459,262",Deutsche Post DHL Group,2017
119,Donald H. Layton,Financials,Diversified Financials,"McLean, VA",http://www.freddiemac.com,21,"5,982",Freddie Mac,2017
120,Li Guohua,Transportation,"Mail, Package, and Freight Delivery","Beijing, China",http://www.chinapost.com.cn,7,"941,211",China Post Group,2017
121,He Wenbo,Materials,Metals,"Beijing, China",http://www.minmetals.com,11,"212,406",China Minmetals,2017
122,Antonio Horta-Osorio,Financials,Banks: Commercial and Savings,"London, Britain",http://www.lloydsbankinggroup.com,23,"70,433",Lloyds Banking Group,2017
123,Robert A. Niblock,Retailing,Specialty Retailers,"Mooresville, NC",http://www.lowes.com,20,"240,000",Lowe’s,2017
124,Olaf Koch,Food & Drug Stores,Food and Drug Stores,"Dusseldorf, Germany",http://www.metrogroup.de,22,"196,540",Metro,2017
125,Michael S. Dell,Technology,"Computers, Office Equipment","Round Rock, TX",http://www.delltechnologies.com,17,"138,000",Dell Technologies,2017
126,Xu Ping,Motor Vehicles & Parts,Motor Vehicles and Parts,"Changchun, China",http://www.faw.com.,13,"122,323",China FAW Group,2017
127,Kurt W. Bock,Chemicals,Chemicals,"Ludwigshafen, Germany",http://www.basf.com,23,"109,543",BASF,2017
128,Yukio Uchida,Energy,Petroleum Refining,"Tokyo, Japan",http://www.hd.jxtg-group.co.jp,23,"26,247",JXTG Holdings,2017
129,Steven A. Kandarian,Financials,"Insurance: Life, Health (stock)","New York, NY",http://www.metlife.com,23,"58,000",MetLife,2017
130,Wang Yuzhu,Wholesalers,Trading,"Tianjin, China",http://www.tewoo.com,6,"17,353",Tewoo Group,2017
131,Mark T. Bertolini,Health Care,Health Care: Insurance and Managed Care,"Hartford, CT",http://www.aetna.com,17,"49,500",Aetna,2017
