,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company
290,Darius E. Adamczyk,Industrials,"Electronics, Electrical Equip.","Morris Plains, N.J.",https://www.honeywell.com,25,"114,000",Honeywell International
291,Xu Xiaoxi,Wholesalers,Trading,"Xiamen, China",https://www.itgholding.com.cn,3,"23,159",Xiamen ITG Holding Group
292,José Ignacio Sánchez Galán,Energy,Utilities,"Bilbao, Spain",https://www.iberdrola.com,15,"33,216",Iberdrola
293,Oscar Munoz,Transportation,Airlines,Chicago,https://www.united.com,24,"92,000",United Airlines Holdings
294,Søren Skou,Transportation,Shipping,Copenhagen,https://www.maersk.com,16,"84,404",Maersk Group
295,Bharat B. Masrani,Financials,Banks: Commercial and Savings,"Toronto, Ontario, Canada",https://www.td.com,20,"84,383",Toronto-Dominion Bank
296,Emma N. Walmsley,Health Care,Pharmaceuticals,"Brentford, Britain",https://www.gsk.com,25,"95,490",GlaxoSmithKline
297,Roger W. Ferguson Jr.,Financials,"Insurance: Life, Health (Mutual)",New York City,https://www.tiaa.org,22,"17,643",TIAA
298,Julie Sweet,Technology,Information Technology Services,Dublin,https://www.accenture.com,18,"459,000",Accenture
299,Donald J. Walker,Motor Vehicles & Parts,Motor Vehicles and Parts,"Aurora, Ontario, Canada",https://www.magna.com,19,"174,000",Magna International
300,Takeshi Sugiyama,Industrials,"Electronics, Electrical Equip.",Tokyo,https://www.mitsubishielectric.com,25,"145,817",Mitsubishi Electric
301,Zhang Jing,Wholesalers,Trading,"Guangzhou, China",https://www.cedarhd.com,2,"31,547",Cedar Holdings Group
302,Ian McIntosh,"Food, Beverages & Tobacco",Food Production,Rotterdam,https://www.ldc.com,6,"16,785",Louis Dreyfus
303,Jean-Sébastien Jacques,Energy,"Mining, Crude-Oil Production",London,https://www.riotinto.com,14,"47,458",Rio Tinto Group
304,Markus Mosa,Wholesalers,Wholesalers: Food and Grocery,Hamburg,https://www.edeka-verbund.de,21,"376,000",Edeka Zentrale
305,Pedro Duarte Guimaraes,Financials,Banks: Commercial and Savings,Bras?lia,https://www.caixa.gov.br,1,"84,952",Caixa Econômica Federal
306,Noel White,"Food, Beverages & Tobacco",Food Production,"Springdale, Ark.",https://www.tysonfoods.com,18,"121,000",Tyson Foods
307,Safra A. Catz,Technology,Computer Software,"Redwood City, Calif.",https://www.oracle.com,13,"137,000",Oracle
308,Thomas J. Wilson,Financials,Insurance: Property and Casualty (Stock),"Northbrook, Ill.",https://www.allstate.com,24,"45,420",Allstate
309,Michael J. Kasbar,Energy,Energy,Miami,https://www.wfscorp.com,8,"5,000",World Fuel Services
310,Ralph Hamers,Financials,Banks: Commercial and Savings,Amsterdam,https://www.ing.com,25,"53,768",ING Group
311,Iain C. Conn,Energy,Utilities,"Windsor, Britain",https://www.centrica.com,22,"31,780",Centrica
312,Fang Hongbo,Industrials,"Electronics, Electrical Equip.","Foshan, China",https://www.midea.com,4,"114,765",Midea Group
313,Stephan Sturm,Health Care,Health Care: Medical Facilities,"Bad Homburg, Germany",https://www.fresenius.com,10,"276,750",Fresenius
314,Roger W. Crandall,Financials,"Insurance: Life, Health (Mutual)","Springfield, Mass.",https://www.massmutual.com,23,"9,844",Massachusetts Mutual Life Insurance
315,Carlo Messina,Financials,Banks: Commercial and Savings,"Turin, Italy",https://www.group.intesasanpaolo.com,21,"92,117",Intesa Sanpaolo
316,Bhavesh V. Patel,Chemicals,Chemicals,Rotterdam,https://www.lyondellbasell.com,12,"19,450",LyondellBasell Industries
317,Ernie L. Herrman,Retailing,Specialty Retailers,"Framingham, Mass.",https://www.tjx.com,18,"270,000",TJX
318,Li Xiyong,Energy,"Mining, Crude-Oil Production","Shandong, China",https://www.ykjt.cn,2,"104,668",Yankuang Group
319,Ryan M. Lance,Energy,"Mining, Crude-Oil Production",Houston,https://www.conocophillips.com,25,"10,800",ConocoPhillips
320,James E. Staley,Financials,Banks: Commercial and Savings,London,https://www.home.barclays,25,"83,500",Barclays
321,Michael Coupe,Food & Drug Stores,Food and Drug Stores,London,https://www.about.sainsburys.co.uk,25,"116,400",J. Sainsbury
322,Gao Hongwei,Aerospace & Defense,Aerospace and Defense,Beijing,https://www.casic.com.cn,4,"146,346",China Aerospace Science & Industry
323,Wu Yansheng,Aerospace & Defense,Aerospace and Defense,Beijing,https://www.spacechina.com,5,"179,788",China Aerospace Science & Technology
324,Akio Negishi,Financials,"Insurance: Life, Health (Mutual)",Tokyo,https://www.meijiyasuda.co.jp,25,"42,950",Meiji Yasuda Life Insurance
325,Galen G. Weston,Food & Drug Stores,Food and Drug Stores,"Toronto, Ontario, Canada",https://www.weston.ca,25,"197,000",George Weston
326,Guillaume Pepy,Transportation,Railroads,"St. Denis, France",https://www.sncf.com,25,"203,865",SNCF Mobilités
327,Takeo Higuchi,Engineering & Construction,"Engineering, Construction","Osaka, Japan",https://www.daiwahouse.co.jp,15,"44,947",Daiwa House Industry
328,Peter Voser,Industrials,Industrial Machinery,Zurich,https://www.abb.com,25,"146,600",ABB
329,John C. May,Industrials,Construction and Farm Machinery,"Moline, Ill.",https://www.johndeere.com,25,"74,413",Deere
330,Richard T. Hume,Wholesalers,Wholesalers: Electronics and Office Equipment,"Clearwater, Fla.",https://www.techdata.com,21,"14,000",Tech Data
331,Paul Desmarais /André Desmarais,Financials,"Insurance: Life, Health (stock)","Montreal, Quebec, Canada",https://www.powercorporation.com,21,"30,000",Power Corp. of Canada
332,Christian Mumenthaler,Financials,Insurance: Property and Casualty (Stock),Zurich,https://www.swissre.com,25,"14,943",Swiss Re
333,Hou Enlong,Retailing,Specialty Retailers,"Nanjing, China",https://www.suning.com,3,"130,455",Suning.com Group
334,Seiji Izumisawa,Industrials,Industrial Machinery,Tokyo,https://www.mhi.com,25,"80,744",Mitsubishi Heavy Industries
335,Seok-Hee Lee,Technology,Semiconductors and Other Electronic Components,"Gyeonggi, South Korea",https://www.skhynix.com,2,"33,000",SK Hynix
336,Eduardo de Salles Bartolomeo,Energy,"Mining, Crude-Oil Production",Rio de Janeiro,https://www.vale.com,13,"70,270",Vale
337,A. James Teague,Energy,Pipelines,Houston,https://www.enterpriseproducts.com,9,"7,000",Enterprise Products Partners
338,Zhang Shuili,Wholesalers,Trading,"Xiamen City, China",https://www.xiangyu-group.com,2,"10,350",XMXYG
339,Kiyotaka Ise,Motor Vehicles & Parts,Motor Vehicles and Parts,"Kariya, Japan",https://www.aisin.com,18,"119,732",Aisin Seiki
340,Shen Bin,Materials,Metals,"Zhangjiagang, China",https://www.shasteel.cn,11,"31,290",Jiangsu Shagang Group
341,John J. Donahoe II,Apparel,Apparel,"Beaverton, Ore.",https://www.nike.com,13,"73,100",Nike
342,Randall T. Jones Sr.,Food & Drug Stores,Food and Drug Stores,"Lakeland, Fla.",https://www.publix.com,25,"202,000",Publix Super Markets
343,Phebe N. Novakovic,Aerospace & Defense,Aerospace and Defense,"Falls Church, Va.",https://www.generaldynamics.com,19,"105,600",General Dynamics
344,Christopher M. Crane,Energy,Utilities,Chicago,https://www.exeloncorp.com,16,"33,383",Exelon
345,Fujio Mitarai,Technology,"Computers, Office Equipment",Tokyo,https://www.canon.com,25,"195,056",Canon
346,Al Monaco,Energy,Pipelines,"Calgary, Alberta, Canada",https://www.enbridge.com,6,"12,000",Enbridge
347,Yang GuoZhan,Energy,"Mining, Crude-Oil Production","Xingtai, China",https://www.jznyjt.com,9,"112,859",Jizhong Energy Group
348,Johannes Teyssen,Energy,Energy,"Essen, Germany",https://www.eon.com,25,"43,302",E.ON
349,Tatsuya Tanaka,Technology,Information Technology Services,Tokyo,https://www.fujitsu.com,25,"132,138",Fujitsu
350,Tatsufumi Sakai,Financials,Banks: Commercial and Savings,Tokyo,https://www.mizuho-fg.co.jp,19,"59,132",Mizuho Financial Group
