,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company,year
423,Jean-Pascal Tricoire,Technology,"Electronics, Electrical Equip.","Rueil-Malmaison, France",http://www.schneider-electric.com,17,"142,013",Schneider Electric,2018
424,Masayoshi Matsumoto,Motor Vehicles & Parts,Motor Vehicles & Parts,"Osaka, Japan",http://www.global-sei.com,24,"255,133",Sumitomo Electric Industries,2018
425,Emmanuel Faber,"Food, Beverages & Tobacco",Food Consumer Products,Paris,http://www.danone.com,24,"104,843",Danone,2018
426,Ren Jun,Retailing,Specialty Retailers,"Nanjing, China",http://www.suning.com,2,"121,102",Suning.com Group,2018
427,Yao Lin,Materials,Metals,"Anshan, China",http://www.ansteel.cn,5,"145,771",Ansteel Group,2018
428,Francisco Reynes Massanet,Energy,Utilities,Madrid,http://www.gasnaturalfenosa.com,10,"15,374",Gas Natural Fenosa,2018
429,Brian J. Porter,Financials,Banks: Commercial and Savings,"Toronto, Ontario, Canada",http://www.scotiabank.com,21,"88,645",Bank of Nova Scotia,2018
430,Zhang Gongyan,Materials,Metals,Beijing,http://www.shougang.com.cn,7,"115,482",Shougang Group,2018
431,Simon Lin,Technology,"Computers, Office Equipment",Taipei,http://www.wistron.com,3,"82,955",Wistron,2018
432,Miles D. White,Health Care,Medical Products and Equipment,"Abbott Park, Ill.",http://www.abbott.com,20,"99,000",Abbott Laboratories,2018
433,Philippe Wahl,Transportation,"Mail, Package, and Freight Delivery",Paris,http://www.laposte.fr,23,"236,223",La Poste,2018
434,Levent Cakiroglu,Energy,Energy,Istanbul,http://www.koc.com.tr,17,"94,111",Koc Holding,2018
435,Shun-Chin Lee,Energy,Petroleum Refining,"Kaohsiung , Taiwan",http://www.cpc.com.tw,18,"14,814",CPC,2018
436,Susan Patricia Griffith,Financials,Insurance: Property and Casualty (Stock),"Mayfield Village, Ohio",http://www.progressive.com,5,"33,656",Progressive,2018
437,Jin-Soo Huh,Energy,Petroleum Refining,Seoul,http://www.gscaltex.com,7,"2,920",GS Caltex,2018
438,Antonio Huertas Mejias,Financials,Insurance: Property and Casualty (Stock),Madrid,http://www.mapfre.com,11,"36,271",Mapfre Group,2018
439,Michael J. Long,Wholesalers,Wholesalers: Electronics and Office Equipment,"Centennial, Colo.",http://www.arrow.com,5,"18,800",Arrow Electronics,2018
440,Alain Dehaze,Business Services,Human Resources & Employment Services,Zurich,http://www.adeccogroup.com,20,"34,000",Adecco Group,2018
441,Sung-Wook Park,Technology,Semiconductors and Other Electronic Components,"Gyeonggi, South Korea",http://www.skhynix.com,1,"28,000",SK Hynix,2018
442,Yuki Fukasawa,Transportation,Railroads,Tokyo,http://www.jreast.co.jp,24,"86,389",East Japan Railway,2018
443,Jan Jenisch,Materials,"Building Materials, Glass","Jona, Switzerland",http://www.lafargeholcim.com,10,"81,960",LafargeHolcim,2018
444,Dexter G. Goei,Telecommunications,Telecommunications,Amsterdam,http://www.altice.net,2,"47,143",Altice,2018
445,William R. McDermott,Technology,Computer Software,"Walldorf, Germany",http://www.sap.com,3,"88,543",SAP,2018
446,Gerald W. Schwartz,Technology,Diversified Financials,"Toronto, Ontario, Canada",http://www.onex.com,19,"207,000",Onex,2018
447,Shayne Elliott,Financials,Banks: Commercial and Savings,"Docklands, Australia",http://www.anz.com,15,"44,896",Australia & New Zealand Banking Group,2018
448,Mark Cutifani,Energy,"Mining, Crude-Oil Production",London,http://www.angloamerican.com,17,"69,000",Anglo American,2018
449,Jacques van den Broek,Business Services,Human Resources & Employment Services,"Diemen, Netherlands",http://www.randstad.com,6,"37,930",Randstad Holding,2018
450,Bernardo Hees,"Food, Beverages & Tobacco",Food Consumer Products,Pittsburgh,http://www.kraftheinzcompany.com,4,"39,000",Kraft Heinz,2018
451,Greg L. Armstrong,Energy,Pipelines,Houston,http://www.plainsallamerican.com,4,"4,850",Plains GP Holdings,2018
452,Nicandro Durante,"Food, Beverages & Tobacco",Tobacco,London,http://www.bat.com,21,"62,270",British American Tobacco,2018
453,Jaime Francisco Hernandez Martinez,Energy,Utilities,Mexico City,http://www.cfe.gob.mx,11,"90,000",CFE,2018
454,John F. Milligan IV,Health Care,Pharmaceuticals,"Foster City, Calif.",http://www.gilead.com,4,"10,000",Gilead Sciences,2018
455,Shang Jiqiang,Wholesalers,Trading,"Urumqi, China",http://www.guanghui.com,2,"79,747",Xinjiang Guanghui Industry Investment,2018
456,Rajeev Suri,Technology,Network and Other Communications Equipment,"Espoo, Finland",http://www.nokia.com,20,"101,731",Nokia,2018
457,Chi-Hun Choi,Wholesalers,Trading,Seoul,http://www.samsungcnt.com,2,"12,953",Samsung C&T,2018
458,Dirk Van de Put,"Food, Beverages & Tobacco",Food Consumer Products,"Deerfield, Ill.",http://www.mondelezinternational.com,11,"83,000",Mondelez International,2018
459,Willie Walsh,Transportation,Airlines,"Harmondsworth, Britain",http://www.iairgroup.com,21,"63,422",International Airlines Group,2018
460,Wesley G. Bush,Aerospace & Defense,Aerospace & Defense,"Falls Church, Va.",http://www.northropgrumman.com,19,"70,000",Northrop Grumman,2018
461,Satoru Katsuno,Energy,Utilities,"Nagoya, Japan",http://www.chuden.co.jp,24,"30,635",Chubu Electric Power,2018
462,Takashi Niino,Technology,Information Technology Services,Tokyo,http://www.nec.com,24,"111,200",NEC,2018
463,Lin Tengjiao,Financials,Diversified Financials,"Fuzhou, China",http://www.yangholdings.com,2,"20,105",Yango Longking Group,2018
464,Wang Bin,Financials,"Insurance: Life, Health (Mutual)",Hong Kong,http://www.cntaiping.com,1,"77,472",China Taiping Insurance Group,2018
465,Michael M. McNamara,Technology,Semiconductors and Other Electronic Components,Singapore,http://www.flex.com,18,"200,000",Flex,2018
466,Thomas A. Kennedy,Aerospace & Defense,Aerospace & Defense,"Waltham, Mass.",http://www.raytheon.com,23,"64,000",Raytheon,2018
467,Chen Jinhang,Energy,Energy,Beijing,http://www.china-cdt.com,9,"96,735",China Datang,2018
468,Daniel Obajtek,Energy,Petroleum Refining,"Plock, Poland",http://www.orlen.pl,11,"20,262",PKN ORLEN Group,2018
469,Frederico Pinheiro Fleury Curado,Energy,Petroleum Refining,Sao Paulo,http://www.ultra.com.br,9,"16,448",Ultrapar Holdings,2018
470,Jong Kyoo Yoon,Financials,Banks: Commercial and Savings,Seoul,http://www.kbfg.com,6,"26,846",KB Financial Group,2018
471,Willem A.J. van Duin,Financials,"Insurance: Life, Health (Mutual)","Zeist, Netherlands",http://www.achmea.com,5,"14,582",Achmea,2018
472,Jeffrey Gennette,Retailing,General Merchandisers,Cincinnati,http://www.macysinc.com,24,"130,000",Macy’s,2018
473,Sheikh Ahmed bin Saeed Al Maktoum,Transportation,Airlines,Dubai,http://www.theemiratesgroup.com,3,"62,356",Emirates Group,2018
474,Jean-Francois van Boxmeer,"Food, Beverages & Tobacco",Beverages,Amsterdam,http://www.theheinekencompany.com,12,"80,425",Heineken Holding,2018
475,Steven W. Williams,Energy,Petroleum Refining,"Calgary, Alberta, Canada",http://www.suncor.com,9,"12,381",Suncor Energy,2018
476,Frank Mastiaux,Energy,Utilities,"Karlsruhe, Germany",http://www.enbw.com,11,"19,939",Energie Baden-Wurttemberg,2018
477,Jean-Dominique Senard,Motor Vehicles & Parts,Motor Vehicles & Parts,"Clermont-Ferrand, France",http://www.michelin.com,24,"107,807",Michelin,2018
478,Richard M. Tsai,Financials,"Insurance: Life, Health (stock)",Taipei,http://www.fubon.com,1,"44,173",Fubon Financial Holding,2018
479,Kasper Rorsted,Apparel,Apparel,"Herzogenaurach, Germany",http://www.adidas-group.com,1,"56,888",Adidas,2018
480,Li Hongshuang,Energy,"Mining, Crude-Oil Production","Jincheng, China",http://www.jamg.cn,6,"132,846",Shanxi Jincheng Anthracite Coal Mining Group,2018
481,Jan Rinnert,Materials,Metals,"Hanau, Germany",http://www.heraeus.com,8,"13,073",Heraeus Holding,2018
482,Sang-Beom Han,Technology,"Electronics, Electrical Equip.",Seoul,http://www.lgdisplay.com,7,"53,891",LG Display,2018
483,Michael J. Salvino,Financials,Information Technology Services,"Tysons, Va.",http://www.dxc.technology,1,"150,000",DXC Technology,2018
484,Andrew G. Thorburn,Financials,Banks: Commercial and Savings,"Docklands, Australia",http://www.nab.com.au,23,"33,422",National Australia Bank,2018
485,Pieter Haas,Retailing,Specialty Retailers,-,http://www.ceconomy.de,23,"57,582",Ceconomy,2018
486,Miguel Eduardo Padilla Silva,"Food, Beverages & Tobacco",Beverages,"Monterrey, Mexico",http://www.femsa.com,1,"295,097",Fomento Economico Mexicano,2018
487,Pietro Satriano,Wholesalers,Wholesalers: Food and Grocery,"Rosemont, Ill.",http://www.usfoods.com,3,"25,204",US Foods Holding,2018
488,Chen Dongsheng,Financials,"Insurance: Life, Health (Mutual)",Beijing,http://www.taikang.com,1,"52,424",Taikang Insurance Group,2018
489,Andrew J. Cecere,Financials,Banks: Commercial and Savings,Minneapolis,http://www.usbank.com,13,"72,402",U.S. Bancorp,2018
490,Hubertus von Baumbach,Health Care,Pharmaceuticals,"Ingelheim, Germany",http://www.boehringer-ingelheim.com,2,"49,610",Boehringer Ingelheim,2018
491,Wiebe Draijer,Financials,Banks: Commercial and Savings,"Utrecht, Netherlands",http://www.rabobank.com,24,"43,810",Rabobank Group,2018
492,Kyung-Shik Sohn /Jay-Hyun Lee,Retailing,Specialty Retailers,Seoul,http://www.cj.net,1,"55,424",CJ Corp.,2018
493,Zhai Hong,Energy,"Mining, Crude-Oil Production","Yangquan, China",http://www.ymjt.com.cn,6,"135,723",Yangquan Coal Industry Group,2018
494,Li Jinping,Energy,"Mining, Crude-Oil Production","Changzhi, China",http://www.chinaluan.com,6,"95,796",Shanxi LuAn Mining Group,2018
495,Ma Fuguo,Energy,"Mining, Crude-Oil Production","Zhengzhou, China",http://www.hnecgc.com.cn,6,"182,480",Henan Energy & Chemical,2018
496,Zhang Youxi,Energy,"Mining, Crude-Oil Production","Datong, China",http://www.dtcoalmine.com,6,"160,836",Datong Coal Mine Group,2018
497,Charles Woodburn,Aerospace & Defense,Aerospace & Defense,London,http://www.baesystems.com,24,"76,000",BAE Systems,2018
498,Liang Haishan,Technology,"Electronics, Electrical Equip.","Qingdao, China",http://www.haier.com/cn,1,"76,896",Qingdao Haier,2018
499,-,Technology,Network and Other Communications Equipment,Stockholm,http://www.ericsson.com,24,"100,735",Ericsson,2018
