id,ceo,company_rank,Born,Nationality,Education,BoY,ceo_year
258,Jean Paul Agon,395,"July 6, 1956 (age 63 years), Boulogne-Billancourt, France",France,HEC Paris,1956.0,2015.0
259,André Calantzopoulos,398,"1958 (age 62 years), Archaeological Site of Olympia, Greece",Greece,"INSEAD Europe Campus, Swiss Federal Institute of Technology Lausanne",1958.0,2015.0
260,Antonio Huertas,399,"January 18, 1964 (age 56 years), Villanueva de la Serena, Spain",Spain,University of Salamanca,1964.0,2015.0
261,Andrey Kostin,404,"September 21, 1956 (age 63 years), Moscow, Russia",Russia,Moscow State University,1956.0,2015.0
262,Philippe Wahl,408,"March 11, 1956 (age 64 years), Sarralbe, France",France,"École Nationale d'Administration, Sciences Po, Pantheon-Sorbonne University"", 'Parents: Georgette Meyer, Adrien Wahl",1956.0,2015.0
263,Gavin Patterson,411,"September 6, 1967 (age 52 years), Altrincham, United Kingdom",United Kingdom,"Emmanuel College, University of Cambridge",1967.0,2015.0
264,Arnaud de Puyfontaine,413,"April 26, 1964 (age 56 years), Paris, France",France,ESCP Business School,1964.0,2015.0
265,Jeff Bewkes,415,"May 25, 1952 (age 67 years), Paterson, NJ",United States,"Stanford Graduate School of Business (1977), Deerfield Academy, Yale University, Stanford University",1952.0,2015.0
266,Richard J. Cousins,418,"March 29, 1959, Leeds, United Kingdom",United Kingdom,"The Brakenhale School, Lancaster University Management School, The University of Sheffield",1959.0,2015.0
267,Terry Lundgren,421,"1952 (age 68 years), Southern California, CA",United States,"The University of Arizona (1974), UA - Eller College of Management",1952.0,2015.0
268,Emmanuel Faber,422,"January 22, 1964 (age 56 years), Grenoble, France",France,HEC Paris,1964.0,2015.0
269,Mark Parker,425,"October 21, 1955 (age 64 years), Poughkeepsie, NY",United States,"Penn State University (1977), Westhill High School",1955.0,2015.0
270,Rick Hamada,430,1958 (age 62 years),,,1958.0,2015.0
271,Potts David T,431,,,,,2015.0
272,Steve Easterbrook,434,"1967 (age 53 years), Watford, United Kingdom",United Kingdom,"St Chad's College • Durham University, Watford Boys Grammar School""",1967.0,2015.0
273,Alan D. Schnitzer,438,"1965 (age 55 years), United States",United States,"Wharton School of the University of Pennsylvania, Columbia Law School",1965.0,2015.0
274,Mark Cutifani,440,"May 2, 1958 (age 62 years), Wollongong, Australia",Australia,University of Wollongong,1958.0,2015.0
275,William M. Walsh,443,"October 25, 1961 (age 58 years), Dublin, Ireland",Ireland,"Trinity College Dublin, Ardscoil Rís Secondary School",1961.0,2015.0
276,Won Joon Lee,445,"October 23, 1985 (age 34 years), South Korea",South Korea,,1985.0,2015.0
277,Alain Dehaze,446,"1963 (age 57 years), Belgium",Belgium,ICHEC Brussels Management School,1963.0,2015.0
278,John T. Standley,447,,,,,2015.0
279,Steven Mollenkopf,448,,,,,2015.0
280,Zhang Guangning,451,"1953 (age 67 years), China",China,"University of Science and Technology Beijing, Guangzhou True Light Middle School",1953.0,2015.0
281,Yasuyuki Yoshinaga,452,"March 5, 1954 (age 66 years), Japan",Japan,Seikei University,1954.0,2015.0
282,Pascal Soriot,455,"May 23, 1959 (age 60 years), France",France,HEC Paris,1959.0,2015.0
283,"Dr. Chang Soo Kim, MD",456,,,,,2015.0
284,Jean-Dominique Senard,458,"March 7, 1953 (age 67 years), Neuilly-sur-Seine, France",France,HEC Paris,1953.0,2015.0
285,Stephen Chazen,459,"1946 (age 74 years), United States",United States,"Rutgers University, Michigan State University, MORE",1946.0,2015.0
286,Lynn Good,462,Ohio,,Miami University,,2015.0
287,Jean-François van Boxmeer,463,"September 12, 1961 (age 58 years), Ixelles, Belgium",Belgium,University of Namur,1961.0,2015.0
288,Li Xianhua,464,"1961 (age 59 years), Nanjing, China",China,University of Science and Technology of China,1961.0,2015.0
289,Julian Roberts,466,"June 7, 1957 (age 62 years)",,University of Stirling,1957.0,2015.0
290,Mark Tucker,467,"December 29, 1957 (age 62 years), England, United Kingdom",United Kingdom,University of Leeds,1957.0,2015.0
291,Ian King,468,"April 24, 1956 (age 64 years), United Kingdom",United Kingdom,,1956.0,2015.0
292,Friedrich Joussen,469,"April 19, 1963 (age 57 years), Duisburg, Germany",Germany,Landfermann-Gymnasium,1963.0,2015.0
293,Albert Manifold,475,August 1962 (age 57 years),,,1962.0,2015.0
294,Li Shufu,477,"June 25, 1963 (age 56 years), Taizhou, China",China,"Hubei University of Economics, Yanshan University, Harbin University of Science and Technology",1963.0,2015.0
295,John F. Milligan,478,,,"Ohio Wesleyan University, University of Illinois at Urbana-Champaign",,2015.0
296,Bill Winters,479,"September 1961 (age 58 years), Connecticut",Connecticut,"Wharton School of the University of Pennsylvania, Colgate University",1961.0,2015.0
297,Sofyan Basir,480,"May 2, 1958 (age 62 years), Bogor, Indonesia",Indonesia,Sekolah Tinggi Ilmu Ekonomi Ganesha (2010),1958.0,2015.0
298,Patrick Kron,482,"September 26, 1953 (age 66 years), Paris, France",France,École Polytechnique,1953.0,2015.0
299,David Farr,484,"1955 (age 65 years), United States",United States,"Vanderbilt University (1980), Wake Forest University (1977), Owen Graduate School of Management",1955.0,2015.0
300,Michel Landel,485,"November 7, 1951 (age 68 years), Meknes, Morocco",Morocco,European Business School Paris,1951.0,2015.0
301,Joseph M. Tucci,487,"1947 (age 73 years), Brooklyn, New York, NY",United States,"Columbia University, Bethlehem Central High School, Manhattan College, Columbia Business School",1947.0,2015.0
302,Stefan Sommer,488,"January 7, 1963 (age 57 years), Münster, Germany",Germany,Ruhr-Universität Bochum,1963.0,2015.0
303,Gerald W. Schwartz,490,"November 24, 1941 (age 78 years), Winnipeg, Canada",Canada,,1941.0,2015.0
304,Magnus Hall,491,"1959 (age 61 years), Sundsvall, Sweden",Sweden,"The Institute of Technology at Linköping University, Georgetown University",1959.0,2015.0
305,Wesley G. Bush,494,"1961 (age 59 years), United States",United States,Massachusetts Institute of Technology,1961.0,2015.0
306,Klaus Kleinfeld,495,"November 6, 1957 (age 62 years), Bremen, Germany",Germany,"Julius-Maximilians-Universität, University of Göttingen",1957.0,2015.0
307,Richard Fairbank,496,"September 18, 1950 (age 69 years), California",California,"Stanford University, Stanford Graduate School of Business",1950.0,2015.0
