,index,ceo,Born,Nationality,Education,BoY
56,84,José Antonio Alvarez (José Antonio ...,"January 6, 1960 (age 60 years), León, Spain",Spain,,1960
57,85,Igor Sechin,"September 7, 1960 (age 59 years), Russian Soviet Federative Socialist Republic","Russian, Soviet",Saint Petersburg State University,1960
58,87,Ning Gaoning,"November 9, 1958 (age 61 years), Binzhou, China",China,"Joseph M. Katz Graduate School of Business, Shandong University, University of Pittsburgh",1958
59,88,Francesco Starace,"1955 (age 65 years), Rome, Italy",Italy,Politecnico di Milano,1955
60,89,Timotheus Höttges,"September 18, 1962 (age 57 years), Solingen, Germany",Germany,University of Cologne,1962
61,90,Philippe Brassac,"August 31, 1959 (age 60 years), Nîmes, France",France,ENSAE Paris,1959
62,91,Philippe Donnet,"July 26, 1960 (age 59 years), Suresnes, France",France,École Polytechnique,1960
63,94,Octavio Romero Oropeza,,,,
64,95,Carlos Tavares,"August 14, 1958 (age 61 years), Lisbon, Portugal",Portuguese,École Centrale Paris (1981),1958
65,97,Masayoshi Son,"August 11, 1957 (age 62 years), Tosu, Saga, Japan",Japanese,"University of California, Berkeley (1980), MORE",1957
66,98,John Flint,"June 1968 (age 51 years), Yorkshire, United Kingdom",United Kingdom,"University of Portsmouth, Giggleswick School",1968
67,103,Jean-Laurent Bonnafé,"July 14, 1961 (age 58 years), Clichy, France",France,"École Polytechnique, Mines ParisTech, Lycée Louis-le-Grand",1961
68,107,Michael L. Tipsord,"1959 (age 61 years), Illinois",Illinois,"Illinois Wesleyan University (1981), University of Illinois at Urbana-Champaign",1959
69,108,Alex Gorsky,"May 24, 1960 (age 59 years), Kansas City, KS",American,"Wharton School of the University of Pennsylvania, United States Military Academy",1960
70,109,Jean-Bernard Lévy,"March 18, 1955 (age 64 years), Suresnes, France",France,"École Polytechnique, Télécom Paris",1955
71,112,Eldar Sætre,"February 8, 1956 (age 64 years), Vartdal, Norway",Norway,NHH Norwegian School of Economics,1956
72,113,Ginni Rometty,"July 29, 1957 (age 62 years), Chicago, IL",American,"Northwestern University, Robert R. McCormick School of Engineering and Applied Science at Northwestern",1957
73,114,Martin Brudermüller,"May 5, 1961 (age 58 years), Stuttgart, Germany",Germany,Karlsruhe Institute of Technology,1961
74,115,Kenichirō Yoshida,"October 1959 (age 60 years), Kumamoto, Japan",Japan,,1959
75,117,Motoya Okada,"June 17, 1951 (age 68 years), Yokkaichi, Mie, Japan",Japan,Babson College,1951
76,118,Wang Wenyin,"1968 (age 52 years), Anhui, China",China,"Anhui Qianshan Yezhai Middle School, Nanjing University",1968
77,119,Lakshmi Mittal,"June 15, 1950 (age 69 years), Sadulpur, India",Indian,"St. Xavier's College, Kolkata"", 'Children: Aditya Mittal, Vanisha Mittal",1950
78,121,Brian Cornell,"1958 (age 62 years), Queens, New York, NY",American,"UCLA Anderson School of Management, University of California, Los Angeles",1958
79,122,Guillaume Faury,"February 22, 1968 (age 52 years), Cherbourg-Octeville, Cherbourg-en-Cotentin, France",France,"Institut supérieur de l'aéronautique et de l'espace, École nationale supérieure de l'aéronautique et de l'espace""",1968
80,123,Frank Appel,"July 29, 1961 (age 58 years), Hamburg, Germany",Germany,"ETH Zürich (2001), Ludwig Maximilian University of Munich",1961
81,124,Hiroshi Shimizu,"March 28, 1903",,Hokkaido University,1903
82,125,Isabelle Kocher,"December 9, 1966 (age 53 years), Neuilly-sur-Seine, France",France,"École Normale Supérieure (1987), Mines ParisTech",1966
83,126,Frans Muller,,,Erasmus University Rotterdam,
84,127,Brickman David M CPA,,,,
85,130,Kazuhiro Tsuga,"November 14, 1956 (age 63 years), Osaka, Osaka, Japan",Japan,"University of California, Santa Barbara (1986), Osaka University (1979)",1956
86,131,David P. Abney,"1956 (age 64 years), Greenwood, MS",American,"Delta State University, Pillow Academy",1956
87,132,Marvin Ellison,1966 (age 54 years),American,"Haywood High School, Emory University, Emory University's Goizueta Business School, University of Memphis"", 'Children: Donavan Ellison",1966
88,134,Bob Swan,"May 9, 1960 (age 59 years), Syracuse, NY",American,"Corcoran High School, Binghamton University, University at Buffalo School of Management",1960
89,135,Megan Brennan,"1961 (age 59 years), Pottsville, PA",American,"MIT Sloan School of Management, Nativity BVM High School, Immaculata University",1961
90,136,Chang Zhenming,"October 1956 (age 63 years), China",China,"Tsinghua University High School, Beijing International Studies University, カレッジ・オブ・インシュアランス",1956
91,137,Xu Jiayin,"October 9, 1958 (age 61 years), Taikang County, Zhoukou, China",Chinese,Wuhan University of Science and Technology,1958
92,138,Liu Qiangdong,"Lailongzhen, Suqian, China",China,"China Europe International Business School, Renmin University of China",
93,142,Thierry Bolloré,"May 30, 1963 (age 56 years), France",France,"Master of Business Administration, Paris Dauphine University",1963
94,145,David S. Taylor,"April 20, 1958 (age 61 years), Charlotte, NC",American,"Duke University (1980), West Charlotte High School",1958
95,147,Gregory J. Hayes,United States,United States,Krannert School of Management,
96,151,Frederick W. Smith,"August 11, 1944 (age 75 years), Marks, MS",American,"Yale University (1962–1966), Memphis University School, Presbyterian Day School",1944
97,154,Juan Ricardo Luciano,"1962 (age 58 years), Argentina",Argentine,Instituto Tecnológico de Buenos Aires,1962
98,157,Wan Zulkiflee,"1961 (age 59 years), Malaysia",Malaysia,Malay College Kuala Kangsar,1961
99,162,Severin Schwan,"November 17, 1967 (age 52 years), Austria",Austria,"University of York, University of Innsbruck",1967
