,rank,company,revenues,revenue % change,profits($M),assets($M),profits % change,employees,change in rank 500,country/territory,year
82,83,ENI,"$90,799.80 ",13.50%,"$4,869.40 ","$135,300.30 ",28%,"31,701",6,Italy,2019
83,84,Dell Technologies,"$90,621.00 ",15.20%,"($2,310.00)","$111,820.00 ",-,"157,000",9,U.S.,2019
84,85,Banco Santander,"$90,531.90 ",3.60%,"$9,217.10 ","$1,667,946.80 ",23.50%,"194,015",-8,Spain,2019
85,86,Rosneft Oil,"$90,055.00 ",25%,"$8,745.80 ","$189,980.10 ",129.70%,"308,000",29,Russia,2019
86,87,China FAW Group,"$89,804.70 ",29.20%,"$2,660.30 ","$66,682.90 ",-6.80%,"142,451",38,China,2019
87,88,Sinochem Group,"$89,358.10 ",16.40%,$701.40 ,"$71,332.70 ",-6.90%,"66,713",10,China,2019
88,89,Enel,"$89,305.70 ",6.10%,"$5,651.80 ","$189,079.60 ",32.70%,"69,272",-6,Italy,2019
89,90,Deutsche Telekom,"$89,286.80 ",5.70%,"$2,556.20 ","$166,163.60 ",-34.50%,"215,675",-9,Germany,2019
90,91,Cr??dit Agricole,"$88,325.00 ",4.90%,"$5,192.70 ","$1,856,682.30 ",26.20%,"73,346",-9,France,2019
91,92,Assicurazioni Generali,"$88,157.40 ",-12.30%,"$2,725.00 ","$589,590.30 ",14.60%,"70,734",-33,Italy,2019
92,93,China Communications Construction,"$88,140.90 ",11%,"$1,585.20 ","$198,943.70 ",2.60%,"178,572",-2,China,2019
93,94,Hyundai Motor,"$87,999.20 ",3.20%,"$1,370.80 ","$161,921.40 ",-61.60%,"122,217",-16,South Korea,2019
94,95,Pemex,"$87,403.30 ",18.40%,"($9,377.90)","$105,384.40 ",-,"131,108",12,Mexico,2019
95,96,Peugeot,"$87,364.30 ",18.90%,"$3,336.30 ","$70,811.10 ",53.40%,"216,539",12,France,2019
96,97,Pacific Construction Group,"$86,622.60 ",12.20%,"$3,390.90 ","$58,175.00 ",7.90%,"387,525",-1,China,2019
97,98,SoftBank Group,"$86,604.70 ",4.80%,"$12,727.90 ","$326,163.20 ",35.70%,"76,866",-13,Japan,2019
98,99,HSBC Holdings,"$86,131.00 ",8.20%,"$13,727.00 ","$2,558,124.00 ",27.10%,"235,217",-9,Britain,2019
99,100,DuPont,"$85,977.00 ",37.20%,"$3,844.00 ","$188,030.00 ",163.30%,"98,000",47,U.S.,2019
100,101,China Post Group,"$85,627.90 ",18.60%,"$4,133.60 ","$1,429,122.30 ",-16.70%,"935,191",12,China,2019
101,102,Hitachi,"$85,507.80 ",1.10%,"$2,007.20 ","$86,984.70 ",-38.70%,"295,941",-23,Japan,2019
102,103,Tesco,"$84,270.60 ",11.80%,"$1,743.10 ","$65,227.60 ",10.20%,"321,490",-1,Britain,2019
103,104,BNP Paribas,"$83,973.70 ",-28.50%,"$8,881.90 ","$2,332,675.50 ",1.60%,"197,162",-60,France,2019
104,105,JXTG Holdings,"$82,733.30 ",8%,"$2,907.10 ","$76,604.40 ",-11%,"40,695",-6,Japan,2019
105,106,Reliance Industries,"$82,331.20 ",32.10%,"$5,660.80 ","$144,715.20 ",1.20%,"194,056",42,India,2019
106,107,China Energy Investment,"$81,977.70 ",8.50%,"$3,531.40 ","$259,644.40 ",41.50%,"338,472",-6,China,2019
107,108,State Farm Insurance Cos.,"$81,732.20 ",4.30%,"$8,788.40 ","$272,518.40 ",298.30%,"56,788",-13,U.S.,2019
108,109,Johnson & Johnson,"$81,581.00 ",6.70%,"$15,297.00 ","$152,954.00 ",1076.70%,"135,100",-9,U.S.,2019
109,110,Electricit?? de France,"$81,403.30 ",3.70%,"$1,389.10 ","$323,662.20 ",-61.20%,"165,790",-16,France,2019
110,111,China Southern Power Grid,"$80,963.60 ",11.20%,"$1,782.40 ","$118,705.60 ",-8%,"289,735",-1,China,2019
111,112,China Minmetals,"$80,076.40 ",9.70%,($373.60),"$130,626.80 ",-,"199,442",-3,China,2019
112,113,Equinor,"$79,593.00 ",30.10%,"$7,535.00 ","$112,508.00 ",64.20%,"20,525",37,Norway,2019
113,114,International Business Machines,"$79,591.00 ",0.60%,"$8,728.00 ","$123,382.00 ",51.70%,"381,100",-22,U.S.,2019
114,115,BASF,"$78,798.70 ",8.40%,"$5,555.10 ","$98,933.50 ",-18.90%,"122,404",-3,Germany,2019
115,116,Sony,"$78,157.70 ",1.40%,"$8,264.00 ","$189,586.90 ",86.60%,"114,400",-19,Japan,2019
116,117,Indian Oil,"$77,587.00 ",17.70%,"$2,484.70 ","$48,385.60 ",-27.80%,"35,442",20,India,2019
117,118,AEON,"$77,122.50 ",2.40%,$214 ,"$90,293.60 ",-2.80%,"288,326",-15,Japan,2019
118,119,Amer International Group,"$76,363.10 ",4.90%,"$1,483.00 ","$21,240.60 ",-4.10%,"16,901",-8,China,2019
119,120,ArcelorMittal,"$76,033.00 ",10.70%,"$5,149.00 ","$91,249.00 ",12.70%,"208,583",7,Luxembourg,2019
