,BoY,Born,Education,ceo,company_rank,Nationality
212,1960.0,"September 26, 1960 (age 59 years), Watford, United Kingdom","The Weald School, Billingshurst",Mike Coupe,321.0,United Kingdom
213,1967.0,"January 28, 1967 (age 53 years), United Kingdom",Cardiff University,Philip Jansen,405.0,United Kingdom
214,,United States,"Cornell University, Krannert School of Management, Purdue University",Gregory J. Hayes,148.0,United States
215,1955.0,"1955 (age 65 years), United States","カレッジ・オブ・インシュアランス, New York University",Evan G. Greenberg,382.0,United States
216,1965.0,"1965 (age 55 years), United States","Wharton School of the University of Pennsylvania, Columbia Law School",Alan D. Schnitzer,413.0,United States
217,1955.0,"1955 (age 65 years), United States","Rutgers University, Air Force Institute of Technology, University of California, Los Angeles",Thomas A. Kennedy,460.0,United States
218,,New Zealand,"The University of Auckland, Waitakere College",Shayne Elliott,457.0,Zealand
219,1960.0,1960 (age 60 years),University of Colorado Boulder,Mike Wirth,28.0,
220,,,Texas A&M University,Greg Garland,54.0,
221,1957.0,May 1957 (age 62 years),"University of Missouri-St. Louis, Our Lady of the Lake School of Business",Joseph W. Gorder,57.0,
222,1955.0,"July 30, 1955 (age 64 years)",,Jun Sawada,64.0,
223,,,,Masahiro Okafuji,65.0,
224,,,,Hiroto Saikawa,66.0,
225,1958.0,May 1958 (age 61 years),Dongbei University of Finance and Economics,Zheng Zhijie,67.0,
226,1960.0,1960 (age 60 years),"Chicopee Comprehensv High Sch, Columbia University, Columbia Business School, Dartmouth College",Gail Koziara Boudreaux,79.0,
227,,,,Octavio Romero Oropeza,95.0,
228,,,,Jianmin Miao,121.0,
229,1903.0,"March 28, 1903",Hokkaido University,Hiroshi Shimizu,125.0,
230,,,Erasmus University Rotterdam,Frans Muller,127.0,
231,,,,Brickman David M CPA,128.0,
232,1963.0,1963 (age 57 years),,Bruce D. Broussard,179.0,
233,1962.0,1962 (age 58 years),,Albert Bourla,198.0,
234,,,,Yu Yong MD,214.0,
235,1906.0,"July 30, 1906 (age 113 years)",,Koji Arima,230.0,
236,1958.0,"January 14, 1958 (age 62 years)",,Rajnish Kumar,236.0,
237,,,,Yousef Al-Benyan,252.0,
238,1961.0,1961 (age 59 years),"Vanderbilt University, Albion College, Owen Graduate School of Management",Doug Parker,257.0,
239,,,California University of Pennsylvania,Tom Rutledge,264.0,
240,1960.0,"October 21, 1960 (age 59 years)",Baden-Württemberg Cooperative State University,Guenter Butschek,265.0,
241,1955.0,1955 (age 65 years),Manhattan College,Stephen Squeri,270.0,
242,1958.0,1958 (age 62 years),North China Electric Power University,Shu Yinbiao,286.0,
243,1951.0,"October 28, 1951 (age 68 years), Washington, D.C.","Sidwell Friends School (1969), Harvard College, Harvard Law School, Harvard University, Pembroke College",Roger W. Ferguson Jr.,297.0,
244,,,Claremont McKenna College,Julie Sweet,298.0,
245,,,,Ian McIntosh,302.0,
246,1969.0,"June 21, 1969 (age 50 years)",ETH Zürich,Christian Mumenthaler,332.0,
247,1935.0,"September 23, 1935 (age 84 years), Kamae, Ōita",Chuo University,Fujio Mitarai,345.0,
248,,,Sydney Boys High School,Matt Comyn,373.0,
249,1962.0,August 1962 (age 57 years),,Albert Manifold,397.0,
250,1969.0,June 1969 (age 50 years),University College London,Dominic Blakemore,403.0,
251,1963.0,"November 5, 1963 (age 56 years), Beaupréau","ESEO, Emlyon Business School",Jean-Pascal Tricoire,411.0,
252,,,"James Madison University, Smithsburg High School, The George Washington University",Kathy J. Warden,416.0,
253,,,,Jean Pierre Mustier,425.0,
254,,,,Jeffrey Gennette,487.0,
255,,,"Ivey Business School, Western University",Darryl White,497.0,
