,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company
305,Safra A. Catz,Technology,Computer Software,"Redwood City, Calif.",https://www.oracle.com,13,"137,000",Oracle
306,Thomas J. Wilson,Financials,Insurance: Property and Casualty (Stock),"Northbrook, Ill.",https://www.allstate.com,24,"45,420",Allstate
307,Michael J. Kasbar,Energy,Energy,Miami,https://www.wfscorp.com,8,"5,000",World Fuel Services
308,Ralph Hamers,Financials,Banks: Commercial and Savings,Amsterdam,https://www.ing.com,25,"53,768",ING Group
309,Iain C. Conn,Energy,Utilities,"Windsor, Britain",https://www.centrica.com,22,"31,780",Centrica
310,Fang Hongbo,Industrials,"Electronics, Electrical Equip.","Foshan, China",https://www.midea.com,4,"114,765",Midea Group
311,Stephan Sturm,Health Care,Health Care: Medical Facilities,"Bad Homburg, Germany",https://www.fresenius.com,10,"276,750",Fresenius
312,Roger W. Crandall,Financials,"Insurance: Life, Health (Mutual)","Springfield, Mass.",https://www.massmutual.com,23,"9,844",Massachusetts Mutual Life Insurance
313,Carlo Messina,Financials,Banks: Commercial and Savings,"Turin, Italy",https://www.group.intesasanpaolo.com,21,"92,117",Intesa Sanpaolo
314,Bhavesh V. Patel,Chemicals,Chemicals,Rotterdam,https://www.lyondellbasell.com,12,"19,450",LyondellBasell Industries
315,Ernie L. Herrman,Retailing,Specialty Retailers,"Framingham, Mass.",https://www.tjx.com,18,"270,000",TJX
316,Li Xiyong,Energy,"Mining, Crude-Oil Production","Shandong, China",https://www.ykjt.cn,2,"104,668",Yankuang Group
317,Ryan M. Lance,Energy,"Mining, Crude-Oil Production",Houston,https://www.conocophillips.com,25,"10,800",ConocoPhillips
318,James E. Staley,Financials,Banks: Commercial and Savings,London,https://www.home.barclays,25,"83,500",Barclays
319,Michael Coupe,Food & Drug Stores,Food and Drug Stores,London,https://www.about.sainsburys.co.uk,25,"116,400",J. Sainsbury
320,Gao Hongwei,Aerospace & Defense,Aerospace and Defense,Beijing,https://www.casic.com.cn,4,"146,346",China Aerospace Science & Industry
321,Wu Yansheng,Aerospace & Defense,Aerospace and Defense,Beijing,https://www.spacechina.com,5,"179,788",China Aerospace Science & Technology
322,Akio Negishi,Financials,"Insurance: Life, Health (Mutual)",Tokyo,https://www.meijiyasuda.co.jp,25,"42,950",Meiji Yasuda Life Insurance
323,Galen G. Weston,Food & Drug Stores,Food and Drug Stores,"Toronto, Ontario, Canada",https://www.weston.ca,25,"197,000",George Weston
324,Guillaume Pepy,Transportation,Railroads,"St. Denis, France",https://www.sncf.com,25,"203,865",SNCF Mobilités
325,Takeo Higuchi,Engineering & Construction,"Engineering, Construction","Osaka, Japan",https://www.daiwahouse.co.jp,15,"44,947",Daiwa House Industry
326,Peter Voser,Industrials,Industrial Machinery,Zurich,https://www.abb.com,25,"146,600",ABB
327,John C. May,Industrials,Construction and Farm Machinery,"Moline, Ill.",https://www.johndeere.com,25,"74,413",Deere
328,Richard T. Hume,Wholesalers,Wholesalers: Electronics and Office Equipment,"Clearwater, Fla.",https://www.techdata.com,21,"14,000",Tech Data
329,Paul Desmarais /André Desmarais,Financials,"Insurance: Life, Health (stock)","Montreal, Quebec, Canada",https://www.powercorporation.com,21,"30,000",Power Corp. of Canada
330,Christian Mumenthaler,Financials,Insurance: Property and Casualty (Stock),Zurich,https://www.swissre.com,25,"14,943",Swiss Re
331,Hou Enlong,Retailing,Specialty Retailers,"Nanjing, China",https://www.suning.com,3,"130,455",Suning.com Group
332,Seiji Izumisawa,Industrials,Industrial Machinery,Tokyo,https://www.mhi.com,25,"80,744",Mitsubishi Heavy Industries
333,Seok-Hee Lee,Technology,Semiconductors and Other Electronic Components,"Gyeonggi, South Korea",https://www.skhynix.com,2,"33,000",SK Hynix
334,Eduardo de Salles Bartolomeo,Energy,"Mining, Crude-Oil Production",Rio de Janeiro,https://www.vale.com,13,"70,270",Vale
335,A. James Teague,Energy,Pipelines,Houston,https://www.enterpriseproducts.com,9,"7,000",Enterprise Products Partners
