id,CEO,Industry,Sector,HQ Location,Website,Years on Global 500 List,company,year
336,Fok Canning,Specialty Retailers,Retailing,"Hong Kong, China",http://www.hutchison-whampoa.com,12,Hutchison Whampoa,2015
337,Eiji Hayashida,Metals,Materials,"Tokyo, Japan",http://www.jfe-holdings.co.jp,13,JFE Holdings,2015
338,David M. Cordani,Health Care: Insurance and Managed Care,Health Care,"Bloomfield, CT",http://www.cigna.com,20,Cigna,2015
339,Wang Tingge,Trading,Wholesalers,"Hangzhou, China",http://www.zjmi.com,5,Zhejiang Materials Industry Group,2015
340,Masaaki Tsuya,Motor Vehicles and Parts,Motor Vehicles & Parts,"Tokyo, Japan",http://www.bridgestone.com,21,Bridgestone,2015
341,Zhang Youxi,"Mining, Crude-Oil Production",Energy,"Datong, China",http://www.dtcoalmine.com,3,Datong Coal Mine Group,2015
342,Chen Qiutu,Energy,Energy,"Shanghai, China",http://www.cefc.co,2,CEFC China Energy,2015
343,Qiao Baoping,Energy,Energy,"Beijing, China",http://www.cgdc.com.cn,6,China Guodian,2015
344,Liu Mingzhong,Metals,Materials,"Beijing, China",http://english.xxcig.com,4,Xinxing Cathay International,2015
345,Li Qingkui,Utilities,Energy,"Beijing, China",http://www.chd.com.cn,4,China Huadian,2015
346,Juan Carlos Echeverry,"Mining, Crude-Oil Production",Energy,"Bogotá, Colombia",http://www.ecopetrol.com.co,5,Ecopetrol,2015
347,Chung Myung-Chul,Motor Vehicles and Parts,Motor Vehicles & Parts,"Seoul, South Korea",http://www.mobis.co.kr,4,Hyundai Mobis,2015
348,Irene B. Rosenfeld,Food Consumer Products,"Food, Beverages & Tobacco","Deerfield, IL",http://www.mondelezinternational.com,8,Mondelez International,2015
349,Roger W. Ferguson,"Insurance: Life, Health (Mutual)",Financials,"New York, NY",http://www.tiaa-cref.org,18,TIAA-CREF,2015
350,Kuniharu Nakamura,Trading,Wholesalers,"Tokyo, Japan",http://www.sumitomocorp.co.jp,21,Sumitomo,2015
351,Al Monaco,Pipelines,Energy,"Calgary, Alberta, Canada",http://www.enbridge.com,2,Enbridge,2015
352,"""Sean M. O'Connor""",Diversified Financials,Financials,"New York, NY",http://www.intlfcstone.com,6,INTL FCStone,2015
353,Dariusz Jacek Krawiec,Petroleum Refining,Energy,"Plock, Poland",http://www.orlen.pl,9,PKN ORLEN Group,2015
354,Li Baomin,"Mining, Crude-Oil Production",Energy,"Guixi, China",http://www.jxcc.com,3,Jiangxi Copper,2015
