,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company,year
116,"$78,157.70 ","$8,264.00 ","$189,586.90 ","$33,851.80 ",10.60%,4.40%,24.40%,Sony,2019
117,"$77,587.00 ","$2,484.70 ","$48,385.60 ","$16,236.90 ",3.20%,5.10%,15.30%,Indian Oil,2019
118,"$77,122.50 ",$214 ,"$90,293.60 ","$9,411.40 ",0.30%,0.20%,2.30%,AEON,2019
119,"$76,363.10 ","$1,483.00 ","$21,240.60 ","$12,950.70 ",1.90%,7%,11.50%,Amer International Group,2019
120,"$76,033.00 ","$5,149.00 ","$91,249.00 ","$42,086.00 ",6.80%,5.60%,12.20%,ArcelorMittal,2019
121,"$75,377.30 ","$1,952.00 ","$150,259.30 ","$22,292.40 ",2.60%,1.30%,8.80%,People?€?s Insurance Co. of China,2019
122,"$75,356.00 ","$2,937.00 ","$41,290.00 ","$11,297.00 ",3.90%,7.10%,26%,Target,2019
123,"$75,185.00 ","$3,604.20 ","$131,671.30 ","$11,114.50 ",4.80%,2.70%,32.40%,Airbus,2019
124,"$75,000.90 ","$2,448.80 ","$57,687.20 ","$15,533.40 ",3.30%,4.20%,15.80%,Deutsche Post DHL Group,2019
125,"$74,202.30 ","$2,514.50 ","$712,112.70 ","$17,892.90 ",3.40%,0.40%,14.10%,Nippon Life Insurance,2019
126,"$74,144.10 ","$1,219.10 ","$175,681.40 ","$40,634.80 ",1.60%,0.70%,3%,Engie,2019
127,"$74,103.90 ","$2,116.00 ","$38,097.30 ","$16,934.70 ",2.90%,5.60%,12.50%,Royal Ahold Delhaize,2019
128,"$73,598.00 ","$9,235.00 ","$2,063,060.00 ","$4,477.00 ",12.50%,0.40%,206.30%,Freddie Mac,2019
129,"$72,677.40 ","$1,097.70 ","$66,789.50 ","$10,811.30 ",1.50%,1.60%,10.20%,Beijing Automotive Group,2019
130,"$72,307.20 ","$3,704.40 ","$72,348.40 ","$26,878.10 ",5.10%,5.10%,13.80%,PTT,2019
131,"$72,178.40 ","$2,562.80 ","$54,341.10 ","$17,290.30 ",3.60%,4.70%,14.80%,Panasonic,2019
132,"$71,861.00 ","$4,791.00 ","$50,016.00 ","$3,021.00 ",6.70%,9.60%,158.60%,United Parcel Service,2019
133,"$71,309.00 ","$2,314.00 ","$34,508.00 ","$3,644.00 ",3.20%,6.70%,63.50%,Lowe?€?s,2019
134,"$71,223.30 ",$337.80 ,"$81,657.40 ","$11,879.00 ",0.50%,0.40%,2.80%,COFCO,2019
135,"$70,848.00 ","$21,053.00 ","$127,963.00 ","$74,563.00 ",29.70%,16.50%,28.20%,Intel,2019
136,"$70,660.00 ","($3,913.00)","$26,688.00 ","($62,637.00)",-5.50%,-14.70%,-,U.S. Postal Service,2019
137,"$70,659.00 ","$4,566.00 ","$986,297.00 ","$48,767.20 ",6.50%,0.50%,9.40%,CITIC Group,2019
138,"$70,478.90 ","$5,652.60 ","$273,829.00 ","$19,370.90 ",8%,2.10%,29.20%,China Evergrande Group,2019
139,"$69,847.60 ",($376.70),"$30,465.20 ","$8,705.70 ",-0.50%,-1.20%,-4.30%,JD.com,2019
140,"$68,777.70 ",$966.40 ,"$57,675.40 ","$15,179.90 ",1.40%,1.70%,6.40%,China North Industries Group,2019
141,"$68,709.50 ","$1,664.60 ","$122,945.90 ","$53,533.10 ",2.40%,1.40%,3.10%,China Telecommunications,2019
142,"$67,941.00 ","$5,123.00 ","$687,538.00 ","$52,741.00 ",7.50%,0.70%,9.70%,MetLife,2019
143,"$67,764.10 ","$3,896.90 ","$131,440.40 ","$40,629.10 ",5.80%,3%,9.60%,Renault,2019
144,"$67,397.50 ","($2,207.60)","$116,353.60 ",$355.50 ,-3.30%,-1.90%,-621%,ChemChina,2019
145,"$67,225.90 ","$2,726.20 ","$308,802.00 ","$30,139.80 ",4.10%,0.90%,9%,Munich Re Group,2019
