,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company
107,"$81,732.20","$8,788.40","$272,518.40","$100,877.70",10.8%,3.2%,8.7%,State Farm Insurance Cos.
108,"$81,581.00","$15,297.00","$152,954.00","$59,752.00",18.8%,10%,25.6%,Johnson & Johnson
109,"$81,403.30","$1,389.10","$323,662.20","$50,828.10",1.7%,0.4%,2.7%,Electricité de France
110,"$80,963.60","$1,782.40","$118,705.60","$45,921.30",2.2%,1.5%,3.9%,China Southern Power Grid
111,"$80,076.40",$-373.6,"$130,626.80","$6,622.80",-0.5%,-0.3%,-5.6%,China Minmetals
112,"$79,593.00","$7,535.00","$112,508.00","$42,970.00",9.5%,6.7%,17.5%,Equinor
113,"$79,591.00","$8,728.00","$123,382.00","$16,796.00",11%,7.1%,52%,International Business Machines
114,"$78,798.70","$5,555.10","$98,933.50","$40,066.70",7%,5.6%,13.9%,BASF
115,"$78,157.70","$8,264.00","$189,586.90","$33,851.80",10.6%,4.4%,24.4%,Sony
116,"$77,587.00","$2,484.70","$48,385.60","$16,236.90",3.2%,5.1%,15.3%,Indian Oil
117,"$77,122.50",$214,"$90,293.60","$9,411.40",0.3%,0.2%,2.3%,AEON
118,"$76,363.10","$1,483.00","$21,240.60","$12,950.70",1.9%,7%,11.5%,Amer International Group
119,"$76,033.00","$5,149.00","$91,249.00","$42,086.00",6.8%,5.6%,12.2%,ArcelorMittal
120,"$75,377.30","$1,952.00","$150,259.30","$22,292.40",2.6%,1.3%,8.8%,People’s Insurance Co. of China
121,"$75,356.00","$2,937.00","$41,290.00","$11,297.00",3.9%,7.1%,26%,Target
122,"$75,185.00","$3,604.20","$131,671.30","$11,114.50",4.8%,2.7%,32.4%,Airbus
123,"$75,000.90","$2,448.80","$57,687.20","$15,533.40",3.3%,4.2%,15.8%,Deutsche Post DHL Group
124,"$74,202.30","$2,514.50","$712,112.70","$17,892.90",3.4%,0.4%,14.1%,Nippon Life Insurance
125,"$74,144.10","$1,219.10","$175,681.40","$40,634.80",1.6%,0.7%,3%,Engie
126,"$74,103.90","$2,116.00","$38,097.30","$16,934.70",2.9%,5.6%,12.5%,Royal Ahold Delhaize
127,"$73,598.00","$9,235.00","$2,063,060.00","$4,477.00",12.5%,0.4%,206.3%,Freddie Mac
128,"$72,677.40","$1,097.70","$66,789.50","$10,811.30",1.5%,1.6%,10.2%,Beijing Automotive Group
129,"$72,307.20","$3,704.40","$72,348.40","$26,878.10",5.1%,5.1%,13.8%,PTT
130,"$72,178.40","$2,562.80","$54,341.10","$17,290.30",3.6%,4.7%,14.8%,Panasonic
131,"$71,861.00","$4,791.00","$50,016.00","$3,021.00",6.7%,9.6%,158.6%,United Parcel Service
132,"$71,309.00","$2,314.00","$34,508.00","$3,644.00",3.2%,6.7%,63.5%,Lowe’s
